pickup_zone,dropoff_zone,number_of_dropoffs,rank
Lower East Side,Gramercy,12794,2
Lower East Side,Murray Hill,12299,3
Lower East Side,Lower East Side,12255,4
Lower East Side,West Village,11351,5
Madison,Madison,45,1
Madison,Sheepshead Bay,16,2
Madison,JFK Airport,7,3
Madison,Homecrest,7,3
Madison,Marine Park/Mill Basin,6,5
Madison,Flatlands,6,5
Madison,Midwood,6,5
Manhattan Beach,Sheepshead Bay,14,1
Manhattan Beach,Manhattan Beach,14,1
Manhattan Beach,Brighton Beach,4,3
Manhattan Beach,JFK Airport,3,4
Manhattan Beach,Newark Airport,2,5
Manhattan Beach,Homecrest,2,5
Manhattan Beach,East Flatbush/Farragut,2,5
Manhattan Beach,Briarwood/Jamaica Hills,2,5
Manhattan Beach,Coney Island,2,5
Manhattan Valley,Upper West Side North,22790,1
Manhattan Valley,Upper West Side South,22629,2
Manhattan Valley,Morningside Heights,14644,3
Manhattan Valley,Lincoln Square East,12158,4
Manhattan Valley,Upper East Side North,9177,5
Manhattanville,Morningside Heights,2908,1
Manhattanville,Central Harlem,2105,2
Manhattanville,Manhattanville,1549,3
Manhattanville,East Harlem North,1505,4
Manhattanville,Central Harlem North,1428,5
Marble Hill,Inwood,50,1
Marble Hill,Washington Heights North,35,2
Marble Hill,Washington Heights South,30,3
Marble Hill,Van Cortlandt Village,15,4
Marble Hill,Kingsbridge Heights,10,5
Marble Hill,Marble Hill,10,5
Marine Park/Floyd Bennett Field,Marine Park/Floyd Bennett Field,55,1
Marine Park/Floyd Bennett Field,Hammels/Arverne,3,2
Marine Park/Floyd Bennett Field,LaGuardia Airport,2,3
Marine Park/Floyd Bennett Field,Newark Airport,2,3
Marine Park/Floyd Bennett Field,Hudson Sq,1,5
Marine Park/Floyd Bennett Field,Marine Park/Mill Basin,1,5
Marine Park/Floyd Bennett Field,JFK Airport,1,5
Marine Park/Floyd Bennett Field,Manhattan Beach,1,5
Marine Park/Floyd Bennett Field,Flatbush/Ditmas Park,1,5
Marine Park/Floyd Bennett Field,Sutton Place/Turtle Bay North,1,5
Marine Park/Floyd Bennett Field,Heartland Village/Todt Hill,1,5
Marine Park/Floyd Bennett Field,Rockaway Park,1,5
Marine Park/Floyd Bennett Field,East Flatbush/Farragut,1,5
Marine Park/Mill Basin,Marine Park/Mill Basin,34,1
Marine Park/Mill Basin,Flatlands,15,2
Marine Park/Mill Basin,Flatbush/Ditmas Park,10,3
Marine Park/Mill Basin,Madison,7,4
Marine Park/Mill Basin,Sheepshead Bay,5,5
Mariners Harbor,Mariners Harbor,7,1
Mariners Harbor,Downtown Brooklyn/MetroTech,2,2
Mariners Harbor,Bloomfield/Emerson Hill,2,2
Mariners Harbor,Saint George/New Brighton,1,4
Mariners Harbor,Upper East Side North,1,4
Mariners Harbor,Oakwood,1,4
Mariners Harbor,Hunts Point,1,4
Mariners Harbor,Midtown East,1,4
Mariners Harbor,Grymes Hill/Clifton,1,4
Mariners Harbor,Long Island City/Hunters Point,1,4
Maspeth,Maspeth,141,1
Maspeth,JFK Airport,67,2
Maspeth,Woodside,64,3
Maspeth,Elmhurst,56,4
Maspeth,Elmhurst/Maspeth,41,5
Maspeth,Sunnyside,41,5
Meatpacking/West Village West,East Chelsea,19183,1
Meatpacking/West Village West,West Village,15387,2
Meatpacking/West Village West,Union Sq,15130,3
Meatpacking/West Village West,TriBeCa/Civic Center,14769,4
Meatpacking/West Village West,Flatiron,13694,5
Melrose South,Melrose South,349,1
Melrose South,Mott Haven/Port Morris,196,2
Melrose South,Central Harlem North,108,3
Melrose South,East Harlem North,101,4
Melrose South,East Concourse/Concourse Village,74,5
Middle Village,Middle Village,119,1
Middle Village,Elmhurst,48,2
Middle Village,Forest Hills,32,3
Middle Village,JFK Airport,23,4
Middle Village,Ridgewood,19,5
Middle Village,Maspeth,19,5
Midtown Center,Upper East Side South,44822,1
Midtown Center,Midtown Center,44455,2
Midtown Center,Times Sq/Theatre District,41492,3
Midtown Center,Murray Hill,37077,4
Midtown Center,Union Sq,36061,5
Midtown East,Murray Hill,44171,1
Midtown East,Times Sq/Theatre District,33610,2
Midtown East,Upper East Side South,32872,3
Midtown East,Midtown East,31849,4
Midtown East,Lenox Hill West,31030,5
Midtown North,Midtown Center,39429,1
Midtown North,Times Sq/Theatre District,34363,2
Midtown North,Upper East Side South,33399,3
Midtown North,Lincoln Square East,33340,4
Midtown North,Upper East Side North,28380,5
Midtown South,Midtown Center,38013,1
Midtown South,Murray Hill,36249,2
Midtown South,Times Sq/Theatre District,36115,3
Midtown South,Union Sq,29483,4
Midtown South,Clinton East,21460,5
Midwood,Midwood,110,1
Midwood,Flatbush/Ditmas Park,59,2
Midwood,Kensington,33,3
Midwood,Borough Park,31,4
Midwood,Homecrest,23,5
Morningside Heights,Morningside Heights,12999,1
Morningside Heights,Upper West Side North,12626,2
Morningside Heights,Upper West Side South,9435,3
Morningside Heights,Manhattan Valley,8848,4
Morningside Heights,Central Harlem,6728,5
Morrisania/Melrose,Morrisania/Melrose,101,1
Morrisania/Melrose,Melrose South,80,2
Morrisania/Melrose,Mott Haven/Port Morris,47,3
Morrisania/Melrose,West Concourse,30,4
Morrisania/Melrose,East Harlem North,25,5
Mott Haven/Port Morris,Mott Haven/Port Morris,1631,1
Mott Haven/Port Morris,East Harlem North,532,2
Mott Haven/Port Morris,Central Harlem North,418,3
Mott Haven/Port Morris,East Harlem South,270,4
Mott Haven/Port Morris,Central Harlem,250,5
Mount Hope,Mount Hope,122,1
Mount Hope,University Heights/Morris Heights,36,2
Mount Hope,West Concourse,33,3
Mount Hope,East Concourse/Concourse Village,27,4
Mount Hope,Bedford Park,21,5
Murray Hill,Union Sq,49640,1
Murray Hill,Murray Hill,46085,2
Murray Hill,Midtown Center,44224,3
Murray Hill,Midtown East,37833,4
Murray Hill,Penn Station/Madison Sq West,36049,5
Murray Hill-Queens,Murray Hill-Queens,39,1
Murray Hill-Queens,Flushing,33,2
Murray Hill-Queens,Jackson Heights,7,3
Murray Hill-Queens,East Flushing,7,3
Murray Hill-Queens,College Point,5,5
Murray Hill-Queens,Whitestone,5,5
New Dorp/Midland Beach,DUMBO/Vinegar Hill,7,1
New Dorp/Midland Beach,New Dorp/Midland Beach,6,2
New Dorp/Midland Beach,Chinatown,3,3
New Dorp/Midland Beach,Stapleton,3,3
New Dorp/Midland Beach,Dyker Heights,2,5
Newark Airport,Newark Airport,1248,1
Newark Airport,TriBeCa/Civic Center,4,2
Newark Airport,Upper East Side North,3,3
Newark Airport,JFK Airport,2,4
Newark Airport,East Chelsea,2,4
North Corona,Jackson Heights,255,1
North Corona,North Corona,209,2
North Corona,Elmhurst,112,3
North Corona,Corona,106,4
North Corona,Woodside,73,5
Norwood,Norwood,68,1
Norwood,Bedford Park,14,2
Norwood,Williamsbridge/Olinville,12,3
Norwood,Claremont/Bathgate,9,4
Norwood,Mount Hope,8,5
Norwood,Belmont,8,5
Norwood,Van Cortlandt Village,8,5
Oakland Gardens,Oakland Gardens,11,1
Oakland Gardens,Douglaston,2,2
Oakland Gardens,Elmhurst,2,2
Oakland Gardens,Bayside,2,2
Oakland Gardens,Bellerose,2,2
Oakwood,Oakwood,3,1
Oakwood,Stapleton,1,2
Oakwood,Gowanus,1,2
Oakwood,Boerum Hill,1,2
Ocean Hill,Ocean Hill,166,1
Ocean Hill,Crown Heights North,89,2
Ocean Hill,Stuyvesant Heights,52,3
Ocean Hill,East New York,51,4
Ocean Hill,Bushwick South,43,5
Ocean Parkway South,Ocean Parkway South,318,1
Ocean Parkway South,Midwood,28,2
Ocean Parkway South,Flatbush/Ditmas Park,22,3
Ocean Parkway South,Borough Park,16,4
Ocean Parkway South,Park Slope,13,5
Old Astoria,Astoria,3309,1
Old Astoria,Old Astoria,2198,2
Old Astoria,Steinway,1436,3
Old Astoria,Queensbridge/Ravenswood,1221,4
Old Astoria,Long Island City/Hunters Point,1066,5
Ozone Park,Ozone Park,36,1
Ozone Park,JFK Airport,19,2
Ozone Park,Howard Beach,14,3
Ozone Park,Woodhaven,13,4
Ozone Park,South Ozone Park,11,5
Park Slope,Park Slope,6062,1
Park Slope,Crown Heights North,2209,2
Park Slope,Boerum Hill,1762,3
Park Slope,Clinton Hill,1438,4
Park Slope,Prospect Heights,1378,5
Parkchester,Parkchester,55,1
Parkchester,Van Nest/Morris Park,19,2
Parkchester,West Farms/Bronx River,16,3
Parkchester,East Tremont,13,4
Parkchester,Westchester Village/Unionport,13,4
Pelham Bay,Pelham Bay,6,1
Pelham Bay,Co-Op City,5,2
Pelham Bay,Schuylerville/Edgewater Park,5,2
Pelham Bay,Country Club,3,4
Pelham Bay,University Heights/Morris Heights,2,5
Pelham Bay,Van Nest/Morris Park,2,5
Pelham Bay,Crotona Park East,2,5
Pelham Bay,Parkchester,2,5
Pelham Bay,Soundview/Bruckner,2,5
Pelham Bay,Mott Haven/Port Morris,2,5
Pelham Bay Park,Co-Op City,4,1
Pelham Bay Park,Pelham Bay Park,3,2
Pelham Bay Park,Pelham Parkway,1,3
Pelham Bay Park,Woodlawn/Wakefield,1,3
Pelham Bay Park,Mount Hope,1,3
Pelham Bay Park,Van Nest/Morris Park,1,3
Pelham Bay Park,East Harlem North,1,3
Pelham Parkway,Pelham Parkway,39,1
Pelham Parkway,Van Nest/Morris Park,16,2
Pelham Parkway,Belmont,15,3
Pelham Parkway,Bronxdale,10,4
Pelham Parkway,Co-Op City,9,5
Penn Station/Madison Sq West,Times Sq/Theatre District,39714,1
Penn Station/Madison Sq West,Union Sq,38767,2
Penn Station/Madison Sq West,Murray Hill,35585,3
Penn Station/Madison Sq West,Midtown Center,34908,4
Penn Station/Madison Sq West,West Chelsea/Hudson Yards,24921,5
Port Richmond,Port Richmond,4,1
Port Richmond,Bloomfield/Emerson Hill,1,2
Port Richmond,East Chelsea,1,2
Port Richmond,Saint George/New Brighton,1,2
Prospect Heights,Crown Heights North,1094,1
Prospect Heights,Park Slope,1091,2
Prospect Heights,Clinton Hill,655,3
Prospect Heights,Fort Greene,639,4
Prospect Heights,Prospect Heights,584,5
Prospect Park,Park Slope,219,1
Prospect Park,Prospect Park,104,2
Prospect Park,Crown Heights North,94,3
Prospect Park,Flatbush/Ditmas Park,75,4
Prospect Park,Clinton Hill,53,5
Prospect-Lefferts Gardens,Prospect-Lefferts Gardens,600,1
Prospect-Lefferts Gardens,Crown Heights North,364,2
Prospect-Lefferts Gardens,Park Slope,311,3
Prospect-Lefferts Gardens,Flatbush/Ditmas Park,217,4
Prospect-Lefferts Gardens,Crown Heights South,166,5
Queens Village,Queens Village,81,1
Queens Village,Two Bridges/Seward Park,15,2
Queens Village,Jamaica Estates,13,3
Queens Village,Jamaica,10,4
Queens Village,Bellerose,8,5
Queens Village,East Harlem North,8,5
Queensboro Hill,Queensboro Hill,66,1
Queensboro Hill,Flushing,37,2
Queensboro Hill,Forest Hills,19,3
Queensboro Hill,Jackson Heights,13,4
Queensboro Hill,Corona,12,5
Queensboro Hill,Kew Gardens Hills,12,5
Queensbridge/Ravenswood,Queensbridge/Ravenswood,1481,1
Queensbridge/Ravenswood,Long Island City/Hunters Point,941,2
Queensbridge/Ravenswood,Astoria,878,3
Queensbridge/Ravenswood,Old Astoria,569,4
Queensbridge/Ravenswood,Long Island City/Queens Plaza,373,5
Randalls Island,Randalls Island,264,1
Randalls Island,JFK Airport,78,2
Randalls Island,Upper West Side South,46,3
Randalls Island,Upper West Side North,45,4
Randalls Island,Yorkville East,30,5
Red Hook,Red Hook,278,1
Red Hook,Carroll Gardens,120,2
Red Hook,Park Slope,109,3
Red Hook,Brooklyn Heights,92,4
Red Hook,Boerum Hill,91,5
Rego Park,Elmhurst,338,1
Rego Park,Forest Hills,311,2
Rego Park,Rego Park,298,3
Rego Park,Jackson Heights,131,4
Rego Park,Corona,115,5
Richmond Hill,Richmond Hill,291,1
Richmond Hill,Jamaica,66,2
Richmond Hill,Kew Gardens,65,3
Richmond Hill,JFK Airport,55,4
Richmond Hill,South Ozone Park,49,5
Ridgewood,Ridgewood,307,1
Ridgewood,Bushwick South,107,2
Ridgewood,Bushwick North,90,3
Ridgewood,Glendale,81,4
Ridgewood,East Williamsburg,54,5
Rikers Island,Rikers Island,23,1
Rikers Island,Long Island City/Hunters Point,1,2
Rikers Island,Union Sq,1,2
Rikers Island,Central Park,1,2
Rikers Island,Central Harlem,1,2
Riverdale/North Riverdale/Fieldston,Riverdale/North Riverdale/Fieldston,69,1
Riverdale/North Riverdale/Fieldston,Spuyten Duyvil/Kingsbridge,37,2
Riverdale/North Riverdale/Fieldston,Inwood,15,3
Riverdale/North Riverdale/Fieldston,Upper West Side North,7,4
Riverdale/North Riverdale/Fieldston,Washington Heights North,7,4
Rockaway Park,Rockaway Park,16,1
Rockaway Park,Hammels/Arverne,2,2
Rockaway Park,Brooklyn Heights,1,3
Rockaway Park,Ridgewood,1,3
Rockaway Park,Howard Beach,1,3
Roosevelt Island,Roosevelt Island,308,1
Roosevelt Island,Astoria,193,2
Roosevelt Island,Queensbridge/Ravenswood,98,3
Roosevelt Island,Long Island City/Hunters Point,81,4
Roosevelt Island,Sunnyside,53,5
Rosedale,Rosedale,47,1
Rosedale,JFK Airport,11,2
Rosedale,Springfield Gardens South,7,3
Rosedale,Saint Albans,2,4
Rosedale,Murray Hill,2,4
Rosedale,Baisley Park,2,4
Rosedale,Queens Village,2,4
Rossville/Woodrow,Eltingville/Annadale/Prince's Bay,1,1
Saint Albans,Saint Albans,44,1
Saint Albans,Jamaica,5,2
Saint Albans,East Harlem North,3,3
Saint Albans,Queens Village,3,3
Saint Albans,East Flatbush/Farragut,2,5
Saint Albans,Baisley Park,2,5
Saint Albans,East New York/Pennsylvania Avenue,2,5
Saint Albans,JFK Airport,2,5
Saint Albans,Hollis,2,5
Saint Albans,Cambria Heights,2,5
Saint George/New Brighton,Saint George/New Brighton,39,1
Saint George/New Brighton,Stapleton,3,2
Saint George/New Brighton,TriBeCa/Civic Center,2,3
Saint George/New Brighton,Downtown Brooklyn/MetroTech,1,4
Saint George/New Brighton,Westerleigh,1,4
Saint George/New Brighton,JFK Airport,1,4
Saint Michaels Cemetery/Woodside,Saint Michaels Cemetery/Woodside,2163,1
Saint Michaels Cemetery/Woodside,Jackson Heights,19,2
Saint Michaels Cemetery/Woodside,Woodside,18,3
Saint Michaels Cemetery/Woodside,Steinway,12,4
Saint Michaels Cemetery/Woodside,Elmhurst/Maspeth,9,5
Saint Michaels Cemetery/Woodside,Astoria,9,5
Schuylerville/Edgewater Park,Schuylerville/Edgewater Park,61,1
Schuylerville/Edgewater Park,Westchester Village/Unionport,6,2
Schuylerville/Edgewater Park,Van Nest/Morris Park,6,2
Schuylerville/Edgewater Park,Mott Haven/Port Morris,4,4
Schuylerville/Edgewater Park,Co-Op City,4,4
Schuylerville/Edgewater Park,Eastchester,4,4
Schuylerville/Edgewater Park,Longwood,4,4
Schuylerville/Edgewater Park,West Farms/Bronx River,4,4
Seaport,TriBeCa/Civic Center,2673,1
Seaport,East Village,2364,2
Seaport,Lower East Side,1979,3
Seaport,Little Italy/NoLiTa,1390,4
Seaport,Two Bridges/Seward Park,1328,5
Sheepshead Bay,Sheepshead Bay,143,1
Sheepshead Bay,Manhattan Beach,7,2
Sheepshead Bay,Madison,6,3
Sheepshead Bay,Brighton Beach,6,3
Sheepshead Bay,Coney Island,4,5
SoHo,TriBeCa/Civic Center,13881,1
SoHo,West Village,13713,2
SoHo,East Village,12840,3
SoHo,Union Sq,10495,4
SoHo,Meatpacking/West Village West,8816,5
Soundview/Bruckner,Soundview/Bruckner,68,1
Soundview/Bruckner,West Farms/Bronx River,17,2
Soundview/Bruckner,Hunts Point,10,3
Soundview/Bruckner,East Harlem North,8,4
Soundview/Bruckner,Van Nest/Morris Park,8,4
Soundview/Castle Hill,Soundview/Castle Hill,3,1
Soundview/Castle Hill,Schuylerville/Edgewater Park,2,2
Soundview/Castle Hill,Westchester Village/Unionport,1,3
Soundview/Castle Hill,Van Nest/Morris Park,1,3
Soundview/Castle Hill,Pelham Parkway,1,3
Soundview/Castle Hill,Flushing Meadows-Corona Park,1,3
Soundview/Castle Hill,Whitestone,1,3
Soundview/Castle Hill,Flushing,1,3
Soundview/Castle Hill,Times Sq/Theatre District,1,3
Soundview/Castle Hill,Morrisania/Melrose,1,3
Soundview/Castle Hill,JFK Airport,1,3
Soundview/Castle Hill,LaGuardia Airport,1,3
Soundview/Castle Hill,East Village,1,3
Soundview/Castle Hill,Soundview/Bruckner,1,3
Soundview/Castle Hill,Parkchester,1,3
Soundview/Castle Hill,Woodlawn/Wakefield,1,3
Soundview/Castle Hill,Richmond Hill,1,3
Soundview/Castle Hill,East Harlem South,1,3
South Beach/Dongan Hills,South Beach/Dongan Hills,10,1
South Beach/Dongan Hills,Crown Heights North,3,2
South Beach/Dongan Hills,Clinton West,1,3
South Beach/Dongan Hills,Lincoln Square East,1,3
South Beach/Dongan Hills,Seaport,1,3
South Beach/Dongan Hills,Greenpoint,1,3
South Beach/Dongan Hills,DUMBO/Vinegar Hill,1,3
South Beach/Dongan Hills,Newark Airport,1,3
South Beach/Dongan Hills,Oakwood,1,3
South Jamaica,South Jamaica,68,1
South Jamaica,Times Sq/Theatre District,66,2
South Jamaica,Clinton East,42,3
South Jamaica,Midtown South,32,4
South Jamaica,Murray Hill,28,5
South Ozone Park,South Ozone Park,241,1
South Ozone Park,JFK Airport,172,2
South Ozone Park,Times Sq/Theatre District,93,3
South Ozone Park,Midtown East,46,4
South Ozone Park,Murray Hill,44,5
South Williamsburg,South Williamsburg,574,1
South Williamsburg,Williamsburg (South Side),560,2
South Williamsburg,Bedford,374,3
South Williamsburg,Williamsburg (North Side),266,4
South Williamsburg,Bushwick South,222,5
Springfield Gardens North,Springfield Gardens North,13,1
Springfield Gardens North,JFK Airport,13,1
Springfield Gardens North,Springfield Gardens South,6,3
Springfield Gardens North,Baisley Park,4,4
Springfield Gardens North,South Ozone Park,3,5
Springfield Gardens North,Laurelton,3,5
Springfield Gardens North,Jamaica,3,5
Springfield Gardens North,South Jamaica,3,5
Springfield Gardens South,Springfield Gardens South,69,1
Springfield Gardens South,JFK Airport,43,2
Springfield Gardens South,Times Sq/Theatre District,35,3
Springfield Gardens South,Clinton East,25,4
Springfield Gardens South,Midtown South,23,5
Spuyten Duyvil/Kingsbridge,Spuyten Duyvil/Kingsbridge,130,1
Spuyten Duyvil/Kingsbridge,Inwood,64,2
Spuyten Duyvil/Kingsbridge,Riverdale/North Riverdale/Fieldston,63,3
Spuyten Duyvil/Kingsbridge,Van Cortlandt Village,40,4
Spuyten Duyvil/Kingsbridge,Washington Heights North,39,5
Stapleton,Stapleton,14,1
Stapleton,Saint George/New Brighton,4,2
Stapleton,Westerleigh,2,3
Stapleton,Van Cortlandt Village,1,4
Stapleton,West Brighton,1,4
Stapleton,TriBeCa/Civic Center,1,4
Stapleton,Long Island City/Queens Plaza,1,4
Stapleton,Great Kills,1,4
Stapleton,New Dorp/Midland Beach,1,4
Starrett City,East New York,7,1
Starrett City,Ocean Hill,4,2
Starrett City,Canarsie,4,2
Starrett City,Starrett City,3,4
Starrett City,Springfield Gardens North,2,5
Starrett City,Flatlands,2,5
Starrett City,East Flatbush/Remsen Village,2,5
Starrett City,Marine Park/Mill Basin,2,5
Steinway,Steinway,6379,1
Steinway,Astoria,3114,2
Steinway,Old Astoria,1171,3
Steinway,Jackson Heights,589,4
Steinway,LaGuardia Airport,572,5
Stuy Town/Peter Cooper Village,Kips Bay,8963,1
Stuy Town/Peter Cooper Village,Murray Hill,8892,2
Stuy Town/Peter Cooper Village,Union Sq,8280,3
Stuy Town/Peter Cooper Village,East Village,7098,4
Stuy Town/Peter Cooper Village,Gramercy,6756,5
Stuyvesant Heights,Stuyvesant Heights,722,1
Stuyvesant Heights,Bedford,549,2
Stuyvesant Heights,Bushwick South,452,3
Stuyvesant Heights,Crown Heights North,428,4
Stuyvesant Heights,Bushwick North,268,5
Sunnyside,Sunnyside,7310,1
Sunnyside,Astoria,4141,2
Sunnyside,Long Island City/Hunters Point,2485,3
Sunnyside,Woodside,2224,4
Sunnyside,Long Island City/Queens Plaza,1565,5
Sunset Park East,Sunset Park East,112,1
Sunset Park East,Sunset Park West,51,2
Sunset Park East,Bay Ridge,34,3
Sunset Park East,Park Slope,22,4
Sunset Park East,Dyker Heights,17,5
Sunset Park West,Sunset Park West,497,1
Sunset Park West,Park Slope,404,2
Sunset Park West,Bay Ridge,203,3
Sunset Park West,Sunset Park East,162,4
Sunset Park West,Boerum Hill,102,5
Sutton Place/Turtle Bay North,Lenox Hill West,32203,1
Sutton Place/Turtle Bay North,Upper East Side South,26765,2
Sutton Place/Turtle Bay North,Midtown East,24118,3
Sutton Place/Turtle Bay North,Murray Hill,23866,4
Sutton Place/Turtle Bay North,Midtown Center,23086,5
Times Sq/Theatre District,Penn Station/Madison Sq West,50233,1
Times Sq/Theatre District,Midtown Center,45136,2
Times Sq/Theatre District,Times Sq/Theatre District,41804,3
Times Sq/Theatre District,Midtown North,36870,4
Times Sq/Theatre District,Clinton East,36323,5
TriBeCa/Civic Center,TriBeCa/Civic Center,33380,1
TriBeCa/Civic Center,West Village,20867,2
TriBeCa/Civic Center,Battery Park City,19283,3
TriBeCa/Civic Center,SoHo,16962,4
TriBeCa/Civic Center,Union Sq,16053,5
Two Bridges/Seward Park,East Village,5022,1
Two Bridges/Seward Park,Two Bridges/Seward Park,2647,2
Two Bridges/Seward Park,Lower East Side,2492,3
Two Bridges/Seward Park,Alphabet City,1917,4
Two Bridges/Seward Park,TriBeCa/Civic Center,1722,5
UN/Turtle Bay South,Murray Hill,15684,1
UN/Turtle Bay South,Midtown Center,15326,2
UN/Turtle Bay South,Sutton Place/Turtle Bay North,15101,3
UN/Turtle Bay South,Lenox Hill West,14477,4
UN/Turtle Bay South,Midtown East,13826,5
Union Sq,Murray Hill,58486,1
Union Sq,East Chelsea,41052,2
Union Sq,East Village,35365,3
Union Sq,Midtown Center,34473,4
Union Sq,Union Sq,33465,5
University Heights/Morris Heights,University Heights/Morris Heights,111,1
University Heights/Morris Heights,Washington Heights North,44,2
University Heights/Morris Heights,Washington Heights South,29,3
University Heights/Morris Heights,West Concourse,22,4
University Heights/Morris Heights,Kingsbridge Heights,22,4
Upper East Side North,Upper East Side North,94852,1
Upper East Side North,Upper East Side South,94190,2
Upper East Side North,Yorkville East,41763,3
Upper East Side North,Lenox Hill West,40608,4
Upper East Side North,Upper West Side South,37196,5
Upper East Side South,Upper East Side North,108506,1
Upper East Side South,Upper East Side South,92299,2
Upper East Side South,Midtown Center,56584,3
Upper East Side South,Lenox Hill West,56541,4
Upper East Side South,Midtown East,53635,5
Upper West Side North,Upper West Side South,50603,1
Upper West Side North,Lincoln Square East,33418,2
Upper West Side North,Upper East Side North,32617,3
Upper West Side North,Upper West Side North,29558,4
Upper West Side North,Morningside Heights,21749,5
Upper West Side South,Upper West Side North,59538,1
Upper West Side South,Lincoln Square East,58602,2
Upper West Side South,Upper West Side South,42969,3
Upper West Side South,Upper East Side North,34955,4
Upper West Side South,Lincoln Square West,27729,5
Van Cortlandt Park,Van Cortlandt Park,19,1
Van Cortlandt Park,Inwood,5,2
Van Cortlandt Park,Spuyten Duyvil/Kingsbridge,4,3
Van Cortlandt Park,Kingsbridge Heights,3,4
Van Cortlandt Park,Norwood,3,4
Van Cortlandt Park,Williamsbridge/Olinville,3,4
Van Cortlandt Park,Van Cortlandt Village,3,4
Van Cortlandt Park,Riverdale/North Riverdale/Fieldston,3,4
Van Cortlandt Village,Van Cortlandt Village,57,1
Van Cortlandt Village,Bedford Park,17,2
Van Cortlandt Village,Inwood,16,3
Van Cortlandt Village,Kingsbridge Heights,15,4
Van Cortlandt Village,Spuyten Duyvil/Kingsbridge,13,5
Van Nest/Morris Park,Van Nest/Morris Park,57,1
Van Nest/Morris Park,Pelham Parkway,17,2
Van Nest/Morris Park,East Tremont,16,3
Van Nest/Morris Park,Parkchester,12,4
Van Nest/Morris Park,Williamsbridge/Olinville,10,5
Van Nest/Morris Park,Westchester Village/Unionport,10,5
Washington Heights North,Washington Heights North,1068,1
Washington Heights North,Washington Heights South,960,2
Washington Heights North,Inwood,285,3
Washington Heights North,Hamilton Heights,201,4
Washington Heights North,Central Harlem North,138,5
Washington Heights South,Washington Heights South,3325,1
Washington Heights South,Hamilton Heights,2508,2
Washington Heights South,Washington Heights North,1303,3
Washington Heights South,Morningside Heights,1195,4
Washington Heights South,Central Harlem North,1180,5
West Brighton,West Brighton,4,1
West Brighton,Saint George/New Brighton,1,2
West Brighton,Eltingville/Annadale/Prince's Bay,1,2
West Brighton,Jackson Heights,1,2
West Brighton,Midtown Center,1,2
West Brighton,Midtown North,1,2
West Brighton,Grymes Hill/Clifton,1,2
West Brighton,Financial District South,1,2
West Chelsea/Hudson Yards,East Chelsea,29294,1
West Chelsea/Hudson Yards,Clinton East,20130,2
West Chelsea/Hudson Yards,Union Sq,18760,3
West Chelsea/Hudson Yards,Times Sq/Theatre District,17899,4
West Chelsea/Hudson Yards,West Chelsea/Hudson Yards,16188,5
West Concourse,West Concourse,518,1
West Concourse,Central Harlem North,302,2
West Concourse,Mott Haven/Port Morris,160,3
West Concourse,Highbridge,123,4
West Concourse,East Harlem North,118,5
West Farms/Bronx River,West Farms/Bronx River,47,1
West Farms/Bronx River,Crotona Park East,9,2
West Farms/Bronx River,Van Nest/Morris Park,9,2
West Farms/Bronx River,Kingsbridge Heights,7,4
West Farms/Bronx River,Highbridge,6,5
West Farms/Bronx River,Mott Haven/Port Morris,6,5
West Farms/Bronx River,Hunts Point,6,5
West Farms/Bronx River,East Tremont,6,5
West Village,East Village,34961,1
West Village,Union Sq,33143,2
West Village,East Chelsea,31815,3
West Village,Flatiron,27384,4
West Village,West Village,25459,5
Westchester Village/Unionport,Westchester Village/Unionport,50,1
Westchester Village/Unionport,Schuylerville/Edgewater Park,12,2
Westchester Village/Unionport,Soundview/Bruckner,11,3
Westchester Village/Unionport,Parkchester,10,4
Westchester Village/Unionport,Co-Op City,9,5
Westerleigh,Westerleigh,8,1
Westerleigh,Elmhurst,1,2
Westerleigh,Arrochar/Fort Wadsworth,1,2
Westerleigh,Great Kills,1,2
Westerleigh,Grymes Hill/Clifton,1,2
Westerleigh,West Brighton,1,2
Westerleigh,Heartland Village/Todt Hill,1,2
Westerleigh,Stapleton,1,2
Westerleigh,Union Sq,1,2
Whitestone,Whitestone,28,1
Whitestone,College Point,9,2
Whitestone,Flushing,7,3
Whitestone,Kew Gardens,6,4
Whitestone,Murray Hill-Queens,4,5
Willets Point,Willets Point,13,1
Willets Point,Whitestone,5,2
Willets Point,Flushing Meadows-Corona Park,4,3
Willets Point,College Point,3,4
Willets Point,West Chelsea/Hudson Yards,2,5
Williamsbridge/Olinville,Williamsbridge/Olinville,68,1
Williamsbridge/Olinville,Woodlawn/Wakefield,16,2
Williamsbridge/Olinville,Eastchester,11,3
Williamsbridge/Olinville,Norwood,10,4
Williamsbridge/Olinville,Co-Op City,5,5
Williamsbridge/Olinville,Allerton/Pelham Gardens,5,5
Williamsburg (North Side),Greenpoint,7406,1
Williamsburg (North Side),Williamsburg (South Side),5848,2
Williamsburg (North Side),Williamsburg (North Side),4529,3
Williamsburg (North Side),East Williamsburg,4244,4
Williamsburg (North Side),Bushwick South,2642,5
Williamsburg (South Side),Williamsburg (North Side),4700,1
Williamsburg (South Side),Williamsburg (South Side),4164,2
Williamsburg (South Side),Greenpoint,3815,3
Williamsburg (South Side),East Williamsburg,3209,4
Williamsburg (South Side),Bushwick South,2638,5
Windsor Terrace,Park Slope,245,1
Windsor Terrace,Windsor Terrace,161,2
Windsor Terrace,Flatbush/Ditmas Park,80,3
