borough,number_of_dropoffs,average_total_fare,average_trip_distance
Queens,1216821,31.45260066188865,10.973246853892228
EWR,1280,67.91050000000001,2.0533593750000003
Brooklyn,483213,13.243511060339873,13.27665503618488
Staten Island,297,29.751649831649832,6.1811447811447815
Manhattan,22659477,10.911279139849027,12.397051526829266
Bronx,20323,12.879331791566205,3.1918835801800927
