zone,number_of_dropoffs,average_total_fare,average_trip_distance
Queensbridge/Ravenswood,8244,11.46,2.8
Manhattanville,21921,12.17,2.9
Borough Park,555,12.41,2.6
Schuylerville/Edgewater Park,160,15.3,4.3
Arrochar/Fort Wadsworth,37,22.3,5.5
Williamsburg (North Side),57771,12.62,3.1
Bay Terrace/Fort Totten,41,17.16,4.8
East Williamsburg,27187,11.95,2.9
Queensboro Hill,294,16.32,3.8
Penn Station/Madison Sq West,603174,10.89,2.3
Hammels/Arverne,101,13.17,2.9
Willets Point,43,12.33,3.4
Central Harlem,77913,10.9,2.5
Howard Beach,156,33.88,7.0
Lincoln Square West,242443,10.31,79.0
Greenwich Village North,445478,10.27,36.7
Murray Hill,901446,10.48,34.1
West Chelsea/Hudson Yards,367746,11.23,25.1
Williamsburg (South Side),50336,12.51,3.0
Ozone Park,196,21.11,5.1
Clinton West,299409,11.05,8.5
Battery Park,6833,16.52,4.3
Rosedale,96,26.98,5.9
Gravesend,76,14.73,3.8
Forest Hills,5145,15.96,4.3
Allerton/Pelham Gardens,73,15.32,5.6
East Flatbush/Farragut,247,14.27,2.9
Forest Park/Highland Park,111,14.29,3.9
Times Sq/Theatre District,922923,11.56,6.2
Brownsville,243,12.59,3.0
East Chelsea,751521,10.93,24.3
Westchester Village/Unionport,259,17.19,4.9
West Farms/Bronx River,199,14.94,3.9
Bronx Park,58,18.47,5.0
Red Hook,2235,17.08,4.7
Brighton Beach,158,14.03,4.1
Far Rockaway,102,15.12,2.8
Boerum Hill,29419,13.36,3.4
Kew Gardens,1539,20.92,5.2
Central Harlem North,37571,11.07,2.6
Springfield Gardens South,713,41.28,12.9
Arden Heights,5,58.08,0.0
Stapleton,26,30.25,5.5
Saint Michaels Cemetery/Woodside,2343,5.18,0.7
East Tremont,211,11.86,2.8
Green-Wood Cemetery,83,10.7,2.6
Rockaway Park,21,23.19,4.2
Van Nest/Morris Park,309,14.95,4.0
Highbridge Park,300,15.55,4.3
Crotona Park,15,11.2,1.3
DUMBO/Vinegar Hill,10788,14.71,3.9
Financial District North,188448,16.07,4.3
Hamilton Heights,25877,13.33,3.4
South Beach/Dongan Hills,20,41.03,7.4
Williamsbridge/Olinville,186,14.12,3.8
Prospect Heights,11351,12.72,3.1
JFK Airport,423056,45.62,-32.2
Brooklyn Navy Yard,781,12.28,2.9
Woodlawn/Wakefield,99,13.88,3.4
Pelham Bay Park,12,18.32,2.9
Morrisania/Melrose,577,12.26,2.8
Bloomfield/Emerson Hill,31,34.03,7.3
Seaport,47183,14.58,10.5
Park Slope,38430,13.49,3.4
North Corona,1265,11.58,2.9
Soundview/Castle Hill,21,15.9,4.7
Kingsbridge Heights,442,14.63,3.7
Morningside Heights,125966,12.02,2.8
Hollis,42,14.19,3.0
Yorkville East,337502,11.06,37.5
Greenpoint,23682,12.35,136.8
Washington Heights North,5273,14.95,3.9
Crown Heights South,1985,12.98,3.2
Elmhurst,9918,12.99,3.2
Van Cortlandt Park,70,13.49,3.5
Governor's Island/Ellis Island/Liberty Island,11,14.95,3.8
Oakland Gardens,26,18.27,6.0
West Brighton,11,29.55,4.6
Jamaica Bay,4,33.5,10.9
Rossville/Woodrow,1,7.0,1.8
Breezy Point/Fort Tilden/Riis Beach,8,19.81,2.0
Great Kills,3,48.0,16.3
Country Club,9,25.08,3.7
Port Richmond,7,42.79,4.7
Broad Channel,3,13.67,4.2
Columbia Street,9,19.78,5.3
Oakwood,6,50.5,14.8
Eltingville/Annadale/Prince's Bay,1,8.0,1.6
