trip_distance,average_total_fare,number_of_trips
151401.0,13.5,1
180051.0,2.5,1
228255.0,8.5,1
286303.0,3.0,1
300000.0,9.5,1
318000.0,2.5,1
500332.0,11.5,1
500501.0,9.0,1
505332.0,12.0,1
506330.0,34.5,1
508328.0,28.5,1
514332.0,13.5,1
536871.0,2.5,1
833180.0,7.5,1
834205.0,18.5,1
850000.0,27.0,1
900000.0,9.0,1
1000000.0,12.0,1
1001339.0,52.0,1
1236007.0,2.5,1
1501358.0,2.5,1
1515967.0,2.5,1
1531800.0,16.0,1
1579886.0,2.5,1
1609837.0,3.5,1
1633973.0,2.5,1
1635050.0,2.5,1
1638798.0,2.5,1
1649552.0,2.5,1
1649755.0,2.5,1
1672820.0,2.5,1
2200000.0,22.5,1
2328400.0,11.0,1
2331800.0,8.0,1
3180000.0,18.375,4
3318000.0,13.5,1
5000000.0,2.5,1
5003301.0,10.5,1
5043318.0,2.5,1
6318000.0,16.0,1
6500512.0,36.5,1
6710318.0,2.5,1
6746032.0,7.5,1
7000000.0,9.0,1
7000227.0,44.0,2
7468004.0,29.5,1
8000010.0,21.0,1
8000017.0,28.0,1
8000020.0,7.5,1
8000030.0,19.5,1
8000160.0,10.5,1
8005023.0,10.0,1
8331800.0,12.25,2
1.0083318E7,11.0,1
1.18E7,14.5,2
1.1800001E7,2.5,1
1.1800002E7,2.5,1
1.2E7,4.5,1
1.23318E7,2.5,1
1.43318E7,2.5,1
1.4731433E7,13.0,1
1.5420005E7,34.5,1
